iso3_r250_id,iso3_r250_label,iso3_r250_name,forestry_gep
642,ROU,Romania,152645456
144,LKA,Sri Lanka,14349564
688,SRB,Serbia,62746000
480,MUS,Mauritius,5299337
462,MDV,Maldives,
854,BFA,Burkina Faso,18735510
850,VIR,"Virgin Islands, U.S.",
248,ALA,Åland,
535,BES,"Bonaire, Sint Eustatius and Saba",
796,TCA,Turks and Caicos Islands,
28,ATG,Antigua and Barbuda,
260,ATF,French Southern Territories,
304,GRL,Greenland,
60,BMU,Bermuda,
275,PSE,Palestine,725044.5625
148,TCD,Chad,34040712
392,JPN,Japan,391449664
56,BEL,Belgium,18817694
795,TKM,Turkmenistan,383.9385986
800,UGA,Uganda,140324384
10,ATA,Antarctica,
450,MDG,Madagascar,559126976
772,TKL,Tokelau,
710,ZAF,South Africa,747080896
356,IND,India,775371136
308,GRD,Grenada,
204,BEN,Benin,49536612
300,GRC,Greece,48698636
498,MDA,Moldova,5474246
470,MLT,Malta,
760,SYR,Syria,8502271
474,MTQ,Martinique,
600,PRY,Paraguay,162987696
882,WSM,Samoa,
203,CZE,Czechia,57690384
466,MLI,Mali,20914082
574,NFK,Norfolk Island,
174,COM,Comoros,891579.125
170,COL,Colombia,216278928
398,KAZ,Kazakhstan,26155716
184,COK,Cook Islands,
332,HTI,Haiti,5347817
620,PRT,Portugal,292395456
654,SHN,"Saint Helena, Ascension and Tris",
16,ASM,American Samoa,
180,COD,Democratic Republic of the Congo,1723502848
266,GAB,Gabon,157295488
646,RWA,Rwanda,5852317
196,CYP,Cyprus,
533,ABW,Aruba,
324,GIN,Guinea,128155552
408,PRK,North Korea,105771000
690,SYC,Seychelles,
84,BLZ,Belize,14555620
492,MCO,Monaco,
833,IMN,Isle of Man,
136,CYM,Cayman Islands,
178,COG,Republic of the Congo,143590560
630,PRI,Puerto Rico,
666,SPM,Saint Pierre and Miquelon,
292,GIB,Gibraltar,
112,BLR,Belarus,226949824
296,KIR,Kiribati,
762,TJK,Tajikistan,359101.5313
400,JOR,Jordan,410.8574219
108,BDI,Burundi,5765437
562,NER,Niger,47619.12891
662,LCA,Saint Lucia,
344,HKG,"China, Hong Kong Special Administrative Region",15647.82129
586,PAK,Pakistan,30047500
638,REU,Réunion,
534,SXM,Sint Maarten,
438,LIE,Liechtenstein,44877.79297
591,PAN,Panama,20690968
239,SGS,South Georgia and the South Sand,
652,BLM,Saint Barthélemy,
500,MSR,Montserrat,
51,ARM,Armenia,5464615.5
434,LBY,Libya,
64,BTN,Bhutan,29347138
422,LBN,Lebanon,2182719.5
807,MKD,North Macedonia,8388455
702,SGP,Singapore,
32,ARG,Argentina,347203840
262,DJI,Djibouti,
643,RUS,Russia,2072383488
706,SOM,Somalia,1050584.875
360,IDN,Indonesia,1040352640
784,ARE,United Arab Emirates,
430,LBR,Liberia,66988656
162,CXR,Christmas Island,
288,GHA,Ghana,109323840
116,KHM,Cambodia,307728800
218,ECU,Ecuador,77706424
231,ETH,Ethiopia,636145152
191,HRV,Croatia,41818200
748,SWZ,Swaziland,104578672
383,XKX,Serbia,275397.7813
887,YEM,Yemen,3.182756901
581,UMI,United States Minor Outlying Isl,
831,GGY,Guernsey,
92,VGB,British Virgin Islands,
31,AZE,Azerbaijan,13147851
478,MRT,Mauritania,4171.181641
120,CMR,Cameroon,212254832
258,PYF,French Polynesia,
752,SWE,Sweden,1758553088
660,AIA,Anguilla,
531,CUW,Curaçao,
12,DZA,Algeria,25807696
608,PHL,Philippines,316703104
832,JEY,Jersey,
418,LAO,Laos,569432960
724,ESP,Spain,940765760
417,KGZ,Kyrgyzstan,3918741
233,EST,Estonia,11101114
