iso3_r250_id,iso3_r250_label,iso3_r250_name,phosphorus_gep
239,SGS,South Georgia and the South Sand,NA
652,BLM,Saint Barthélemy,NA
500,MSR,Montserrat,136152.5746
51,ARM,Armenia,69474284.25
434,LBY,Libya,354273119.8
64,BTN,Bhutan,9176403.343
422,LBN,Lebanon,13708361.64
807,MKD,North Macedonia,95795973.83
702,SGP,Singapore,16421956.31
32,ARG,Argentina,4223286134
262,DJI,Djibouti,3146760.408
643,RUS,Russia,4829814028
706,SOM,Somalia,-712396.972
360,IDN,Indonesia,1204342705
784,ARE,United Arab Emirates,487962498
430,LBR,Liberia,238953673.1
162,CXR,Christmas Island,NA
288,GHA,Ghana,181913025.3
116,KHM,Cambodia,31887148.64
218,ECU,Ecuador,239793759.3
231,ETH,Ethiopia,3694917.462
191,HRV,Croatia,1017380267
748,SWZ,Swaziland,4570929.299
383,XKX,Serbia,31977879.84
887,YEM,Yemen,9133921.012
581,UMI,United States Minor Outlying Isl,NA
831,GGY,Guernsey,373082.8753
92,VGB,British Virgin Islands,NA
31,AZE,Azerbaijan,36625547.22
478,MRT,Mauritania,43594587.53
120,CMR,Cameroon,214177979.7
258,PYF,French Polynesia,NA
752,SWE,Sweden,0
660,AIA,Anguilla,106772.6946
531,CUW,Curaçao,1731737.097
12,DZA,Algeria,1796093953
608,PHL,Philippines,140404843.7
832,JEY,Jersey,1748246.951
418,LAO,Laos,153000988.6
724,ESP,Spain,5440004054
417,KGZ,Kyrgyzstan,13729760.45
233,EST,Estonia,0
