iso3_r250_id,iso3_r250_label,iso3_r250_name,gep_hydro_cwonresrent_2019usd
428,LVA,Latvia,9658621
446,MAC,"China, Macao Special Administrative Region",
663,MAF,Saint-Martin,
504,MAR,Morocco,
492,MCO,Monaco,
498,MDA,Moldova,
450,MDG,Madagascar,70404245
462,MDV,Maldives,
484,MEX,Mexico,84293801
584,MHL,Marshall Islands,
807,MKD,North Macedonia,
466,MLI,Mali,102919290
470,MLT,Malta,
104,MMR,Myanmar,
499,MNE,Montenegro,
496,MNG,Mongolia,
580,MNP,Northern Mariana Islands,
508,MOZ,Mozambique,1494315718
478,MRT,Mauritania,
500,MSR,Montserrat,
474,MTQ,Martinique,
480,MUS,Mauritius,11074724
454,MWI,Malawi,66954390
458,MYS,Malaysia,835716221
175,MYT,Mayotte,
516,NAM,Namibia,62418717
540,NCL,New Caledonia,
562,NER,Niger,
574,NFK,Norfolk Island,
566,NGA,Nigeria,1157651928
558,NIC,Nicaragua,
570,NIU,Niue,
528,NLD,Netherlands,
578,NOR,Norway,1811534483
524,NPL,Nepal,210707412
520,NRU,Nauru,
554,NZL,New Zealand,2176813935
512,OMN,Oman,
586,PAK,Pakistan,934900864
591,PAN,Panama,177424094
612,PCN,Pitcairn Islands,
604,PER,Peru,1934716241
608,PHL,Philippines,427847279
585,PLW,Palau,
598,PNG,Papua New Guinea,38563601
616,POL,Poland,
630,PRI,Puerto Rico,
408,PRK,North Korea,
620,PRT,Portugal,
600,PRY,Paraguay,2224003478
275,PSE,Palestine,
258,PYF,French Polynesia,
634,QAT,Qatar,
638,REU,Réunion,
642,ROU,Romania,198790888
643,RUS,Russia,1865125442
646,RWA,Rwanda,19191832
682,SAU,Saudi Arabia,
729,SDN,Sudan,
686,SEN,Senegal,
702,SGP,Singapore,
239,SGS,South Georgia and the South Sand,
654,SHN,"Saint Helena, Ascension and Tris",
744,SJM,Svalbard and Jan Mayen,
90,SLB,Solomon Islands,
694,SLE,Sierra Leone,8500079
222,SLV,El Salvador,
674,SMR,San Marino,
706,SOM,Somalia,
666,SPM,Saint Pierre and Miquelon,
688,SRB,Serbia,
728,SSD,South Sudan,
678,STP,São Tomé and Príncipe,
740,SUR,Suriname,44086241
703,SVK,Slovakia,86880335
705,SVN,Slovenia,334340044
752,SWE,Sweden,2083529774
748,SWZ,Swaziland,24506084
534,SXM,Sint Maarten,
690,SYC,Seychelles,
760,SYR,Syria,
796,TCA,Turks and Caicos Islands,
148,TCD,Chad,
768,TGO,Togo,17993641
764,THA,Thailand,353141064
762,TJK,Tajikistan,
772,TKL,Tokelau,
795,TKM,Turkmenistan,
626,TLS,Timor-Leste,
776,TON,Tonga,
780,TTO,Trinidad and Tobago,
788,TUN,Tunisia,
792,TUR,Turkey,2343127317
798,TUV,Tuvalu,
158,TWN,Taiwan,
834,TZA,Tanzania,337466077
800,UGA,Uganda,392799480
804,UKR,Ukraine,
581,UMI,United States Minor Outlying Isl,
858,URY,Uruguay,1213272997
840,USA,United States,4212427992
860,UZB,Uzbekistan,
336,VAT,Vatican City,
670,VCT,Saint Vincent and the Grenadines,
862,VEN,Venezuela,3475395551
92,VGB,British Virgin Islands,
850,VIR,"Virgin Islands, U.S.",
704,VNM,Vietnam,2683537616
548,VUT,Vanuatu,
876,WLF,Wallis and Futuna,
882,WSM,Samoa,
383,XKX,Serbia,
887,YEM,Yemen,
710,ZAF,South Africa,
894,ZMB,Zambia,1119388636
716,ZWE,Zimbabwe,574288874
