iso3_r250_id,iso3_r250_label,iso3_r250_name,local_climate_regulation,,,
762,TJK,Tajikistan,"$5,733,885.31 ",,,
70,BIH,Bosnia and Herzegovina,"$4,319,916.76 ",,,
100,BGR,Bulgaria,"$4,129,513.44 ",,,
112,BLR,Belarus,"$3,804,553.42 ",,,
51,ARM,Armenia,"$1,187,172.00 ",,,
96,BRN,Brunei,"$193,824.00 ",,,
44,BHS,Bahamas,"$121,140.00 ",,,
212,DMA,Dominica,"$96,912.00 ",,,
48,BHR,Bahrain,"$72,684.00 ",,,
690,SYC,Seychelles,"$72,684.00 ",,,
882,WSM,Samoa,"$72,684.00 ",,,
670,VCT,Saint Vincent and the Grenadines,"$48,456.00 ",,,
548,VUT,Vanuatu,"$48,456.00 ",,,
28,ATG,Antigua and Barbuda,"$24,228.00 ",,,
776,TON,Tonga,"$24,228.00 ",,,
533,ABW,Aruba,,,,
660,AIA,Anguilla,,,,
248,ALA,Åland,,,,
20,AND,Andorra,,,,
16,ASM,American Samoa,,,,
10,ATA,Antarctica,,,,
260,ATF,French Southern Territories,,,,
535,BES,"Bonaire, Sint Eustatius and Saba",,,,
50,BGD,Bangladesh,,,,
652,BLM,Saint Barthélemy,,,,
60,BMU,Bermuda,,,,
76,BRA,Brazil,,,,
52,BRB,Barbados,,,,
74,BVT,Bouvet Island,,,,
124,CAN,Canada,,,,
166,CCK,Cocos Islands,,,,
756,CHE,Switzerland,,,,
152,CHL,Chile,,,,
384,CIV,Côte d'lvoire,,,,
178,COG,Republic of the Congo,,,,
184,COK,Cook Islands,,,,
170,COL,Colombia,,,,
174,COM,Comoros,,,,
132,CPV,Cabo Verde,,,,
188,CRI,Costa Rica,,,,
192,CUB,Cuba,,,,
531,CUW,Curaçao,,,,
162,CXR,Christmas Island,,,,
136,CYM,Cayman Islands,,,,
196,CYP,Cyprus,,,,
203,CZE,Czechia,,,,
276,DEU,Germany,,,,
208,DNK,Denmark,,,,
214,DOM,Dominican Republic,,,,
12,DZA,Algeria,,,,
218,ECU,Ecuador,,,,
818,EGY,Egypt,,,,
232,ERI,Eritrea,,,,
732,ESH,Western Sahara,,,,
724,ESP,Spain,,,,
233,EST,Estonia,,,,
231,ETH,Ethiopia,,,,
246,FIN,Finland,,,,
242,FJI,Fiji,,,,
238,FLK,Falkland Islands,,,,
250,FRA,France,,,,
234,FRO,Faroe Islands,,,,
583,FSM,Micronesia,,,,
266,GAB,Gabon,,,,
826,GBR,United Kingdom,,,,
268,GEO,Georgia,,,,
831,GGY,Guernsey,,,,
288,GHA,Ghana,,,,
292,GIB,Gibraltar,,,,
324,GIN,Guinea,,,,
312,GLP,Guadeloupe,,,,
270,GMB,Gambia,,,,
624,GNB,Guinea-Bissau,,,,
226,GNQ,Equatorial Guinea,,,,
300,GRC,Greece,,,,
308,GRD,Grenada,,,,
304,GRL,Greenland,,,,
320,GTM,Guatemala,,,,
254,GUF,French Guiana,,,,
316,GUM,Guam,,,,
328,GUY,Guyana,,,,
344,HKG,"China, Hong Kong Special Administrative Region",,,,
334,HMD,Heard Island and McDonald Island,,,,
340,HND,Honduras,,,,
191,HRV,Croatia,,,,
332,HTI,Haiti,,,,
348,HUN,Hungary,,,,
360,IDN,Indonesia,,,,
833,IMN,Isle of Man,,,,
356,IND,India,,,,
86,IOT,British Indian Ocean Territory,,,,
372,IRL,Ireland,,,,
364,IRN,Iran,,,,
368,IRQ,Iraq,,,,
352,ISL,Iceland,,,,
376,ISR,Israel,,,,
380,ITA,Italy,,,,
388,JAM,Jamaica,,,,
832,JEY,Jersey,,,,
400,JOR,Jordan,,,,
392,JPN,Japan,,,,
398,KAZ,Kazakhstan,,,,
404,KEN,Kenya,,,,
417,KGZ,Kyrgyzstan,,,,
116,KHM,Cambodia,,,,
296,KIR,Kiribati,,,,
659,KNA,Saint Kitts and Nevis,,,,
410,KOR,South Korea,,,,
414,KWT,Kuwait,,,,
418,LAO,Laos,,,,
422,LBN,Lebanon,,,,
430,LBR,Liberia,,,,
434,LBY,Libya,,,,
662,LCA,Saint Lucia,,,,
438,LIE,Liechtenstein,,,,
144,LKA,Sri Lanka,,,,
426,LSO,Lesotho,,,,
440,LTU,Lithuania,,,,
442,LUX,Luxembourg,,,,
428,LVA,Latvia,,,,
446,MAC,"China, Macao Special Administrative Region",,,,
663,MAF,Saint-Martin,,,,
504,MAR,Morocco,,,,
492,MCO,Monaco,,,,
498,MDA,Moldova,,,,
450,MDG,Madagascar,,,,
462,MDV,Maldives,,,,
484,MEX,Mexico,,,,
584,MHL,Marshall Islands,,,,
807,MKD,North Macedonia,,,,
466,MLI,Mali,,,,
470,MLT,Malta,,,,
104,MMR,Myanmar,,,,
499,MNE,Montenegro,,,,
496,MNG,Mongolia,,,,
580,MNP,Northern Mariana Islands,,,,
508,MOZ,Mozambique,,,,
478,MRT,Mauritania,,,,
500,MSR,Montserrat,,,,
474,MTQ,Martinique,,,,
480,MUS,Mauritius,,,,
454,MWI,Malawi,,,,
458,MYS,Malaysia,,,,
175,MYT,Mayotte,,,,
516,NAM,Namibia,,,,
540,NCL,New Caledonia,,,,
562,NER,Niger,,,,
574,NFK,Norfolk Island,,,,
566,NGA,Nigeria,,,,
558,NIC,Nicaragua,,,,
570,NIU,Niue,,,,
528,NLD,Netherlands,,,,
578,NOR,Norway,,,,
524,NPL,Nepal,,,,
520,NRU,Nauru,,,,
554,NZL,New Zealand,,,,
512,OMN,Oman,,,,
586,PAK,Pakistan,,,,
591,PAN,Panama,,,,
612,PCN,Pitcairn Islands,,,,
604,PER,Peru,,,,
608,PHL,Philippines,,,,
585,PLW,Palau,,,,
598,PNG,Papua New Guinea,,,,
616,POL,Poland,,,,
630,PRI,Puerto Rico,,,,
408,PRK,North Korea,,,,
620,PRT,Portugal,,,,
600,PRY,Paraguay,,,,
275,PSE,Palestine,,,,
258,PYF,French Polynesia,,,,
634,QAT,Qatar,,,,
638,REU,Réunion,,,,
642,ROU,Romania,,,,
643,RUS,Russia,,,,
646,RWA,Rwanda,,,,
682,SAU,Saudi Arabia,,,,
729,SDN,Sudan,,,,
686,SEN,Senegal,,,,
702,SGP,Singapore,,,,
239,SGS,South Georgia and the South Sand,,,,
654,SHN,"Saint Helena, Ascension and Tris",,,,
744,SJM,Svalbard and Jan Mayen,,,,
90,SLB,Solomon Islands,,,,
694,SLE,Sierra Leone,,,,
222,SLV,El Salvador,,,,
674,SMR,San Marino,,,,
706,SOM,Somalia,,,,
666,SPM,Saint Pierre and Miquelon,,,,
688,SRB,Serbia,,,,
728,SSD,South Sudan,,,,
678,STP,São Tomé and Príncipe,,,,
740,SUR,Suriname,,,,
703,SVK,Slovakia,,,,
705,SVN,Slovenia,,,,
752,SWE,Sweden,,,,
748,SWZ,Swaziland,,,,
534,SXM,Sint Maarten,,,,
796,TCA,Turks and Caicos Islands,,,,
772,TKL,Tokelau,,,,
795,TKM,Turkmenistan,,,,
798,TUV,Tuvalu,,,,
581,UMI,United States Minor Outlying Isl,,,,
840,USA,United States,,,,
336,VAT,Vatican City,,,,
92,VGB,British Virgin Islands,,,,
850,VIR,"Virgin Islands, U.S.",,,,
876,WLF,Wallis and Futuna,,,,
383,XKX,Serbia,,,,
887,YEM,Yemen,,,,
