iso3_r250_id,iso3_r250_label,iso3_r250_name, local_climate_regulation 
748,SWZ,Swaziland," $660,672 "
534,SXM,Sint Maarten,
690,SYC,Seychelles," $336,141 "
760,SYR,Syria," $127,014,695 "
796,TCA,Turks and Caicos Islands,
148,TCD,Chad," $878,893 "
768,TGO,Togo," $3,377,841 "
764,THA,Thailand," $271,604,228 "
762,TJK,Tajikistan," $23,926,593 "
772,TKL,Tokelau,
795,TKM,Turkmenistan,
626,TLS,Timor-Leste," $336,100 "
776,TON,Tonga," $1,137,985 "
780,TTO,Trinidad and Tobago," $70,432,730 "
788,TUN,Tunisia," $134,655,846 "
792,TUR,Turkey," $3,623,597,418 "
798,TUV,Tuvalu,
158,TWN,Taiwan,
834,TZA,Tanzania," $11,012,079 "
800,UGA,Uganda," $7,179,435 "
804,UKR,Ukraine," $46,937,686 "
581,UMI,United States Minor Outlying Isl,
858,URY,Uruguay," $234,962,257 "
840,USA,United States," $54,954,253,513 "
860,UZB,Uzbekistan," $6,496,418 "
336,VAT,Vatican City,
670,VCT,Saint Vincent and the Grenadines," $2,808,456 "
862,VEN,Venezuela," $6,442,521,282 "
92,VGB,British Virgin Islands,
850,VIR,"Virgin Islands, U.S.",
704,VNM,Vietnam," $302,490,401 "
548,VUT,Vanuatu," $210,344 "
876,WLF,Wallis and Futuna,
882,WSM,Samoa," $43,544 "
383,XKX,Serbia,
887,YEM,Yemen,
710,ZAF,South Africa," $1,810,302,789 "
894,ZMB,Zambia," $7,607,143 "
716,ZWE,Zimbabwe," $12,884,709 "
