iso3_r250_id,iso3_r250_label,iso3_r250_name, local_climate_regulation ,,
239,SGS,South Georgia and the South Sand,,,
654,SHN,"Saint Helena, Ascension and Tris",,,
744,SJM,Svalbard and Jan Mayen,,,
90,SLB,Solomon Islands," $12,856 ",,
694,SLE,Sierra Leone," $2,938 ",,
222,SLV,El Salvador," $4,538,650 ",,
674,SMR,San Marino,,,
706,SOM,Somalia,,,
666,SPM,Saint Pierre and Miquelon,,,
688,SRB,Serbia," $2,505,193 ",,
728,SSD,South Sudan,,,
678,STP,São Tomé and Príncipe,,,
740,SUR,Suriname," $272,480 ",,
703,SVK,Slovakia," $404,516 ",,
705,SVN,Slovenia," $1,602,181 ",,
752,SWE,Sweden," $9,982,327 ",,
748,SWZ,Swaziland," $1,810 ",,
534,SXM,Sint Maarten,,,
690,SYC,Seychelles," $1,668 ",,
760,SYR,Syria," $223,774 ",,
796,TCA,Turks and Caicos Islands,,,
148,TCD,Chad," $2,189 ",,
768,TGO,Togo," $8,653 ",,
764,THA,Thailand," $10,770,538 ",,
762,TJK,Tajikistan," $341,648 ",,
772,TKL,Tokelau,,,
795,TKM,Turkmenistan,,,
626,TLS,Timor-Leste," $16,378 ",,
776,TON,Tonga," $55,312 ",,
780,TTO,Trinidad and Tobago," $8,385,163 ",,
788,TUN,Tunisia," $254,122 ",,
792,TUR,Turkey," $35,267,112 ",,
798,TUV,Tuvalu,,,
158,TWN,Taiwan,,,
834,TZA,Tanzania," $31,709 ",,
800,UGA,Uganda," $15,892 ",,
804,UKR,Ukraine," $7,854,660 ",,
581,UMI,United States Minor Outlying Isl,,,
858,URY,Uruguay," $33,414,041 ",,
840,USA,United States," $6,838,189,883 ",,
860,UZB,Uzbekistan," $923,877 ",,
336,VAT,Vatican City,,,
670,VCT,Saint Vincent and the Grenadines," $354,483 ",,
862,VEN,Venezuela," $750,172,459 ",,
92,VGB,British Virgin Islands,,,
850,VIR,"Virgin Islands, U.S.",,,
704,VNM,Vietnam," $11,913,050 ",,
548,VUT,Vanuatu," $8,460 ",,
876,WLF,Wallis and Futuna,,,
882,WSM,Samoa," $1,621 ",,
383,XKX,Serbia,,,
887,YEM,Yemen,,,
710,ZAF,South Africa," $4,734,562 ",,
894,ZMB,Zambia," $13,549 ",,
716,ZWE,Zimbabwe," $29,696 ",,
