iso3_r250_id,iso3_r250_label,iso3_r250_name,gep_gas
831.0,GGY,Guernsey,
832.0,JEY,Jersey,
833.0,IMN,Isle of Man,
834.0,TZA,Tanzania,63653255.22708137
840.0,USA,United States,0.0
850.0,VIR,"Virgin Islands, U.S.",
854.0,BFA,Burkina Faso,
858.0,URY,Uruguay,
860.0,UZB,Uzbekistan,1518049965.93406
862.0,VEN,Venezuela,47640196.72533446
876.0,WLF,Wallis and Futuna,
882.0,WSM,Samoa,
887.0,YEM,Yemen,0.0
894.0,ZMB,Zambia,
